order,class,phylum,gene,n,n_res,f_res
AKS1,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
ATCC43930,Alphaproteobacteria,Pseudomonadota,rpsL,2,0,0
Acanthopleuribacterales,Holophagae,Acidobacteriota,rpsL,2,0,0
Acetobacterales,Alphaproteobacteria,Pseudomonadota,rpsL,196,0,0
Acidaminococcales,Negativicutes,Bacillota,rpsL,10,0,0
Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,3,0,0
Acidimicrobiales,Acidimicrobiia,Actinomycetota,rpsL,14,5,0.35714285714285715
Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,rpsL,18,0,0
Acidothermales,Actinomycetes,Actinomycetota,rpsL,1,0,0
Actinomycetales,Actinomycetes,Actinomycetota,rpsL,1278,26,0.02034428794992175
Anaeromusales,Negativicutes,Bacillota,rpsL,1,0,0
Anaerosomatales,Coriobacteriia,Actinomycetota,rpsL,2,0,0
Aquificales,Aquificia,Aquificota,rpsL,9,0,0
Arenicellales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Atribacterales,Atribacteria,Atribacterota,rpsL,2,0,0
Azospirillales,Alphaproteobacteria,Pseudomonadota,rpsL,43,1,0.023255813953488372
B231,Cyanobacteriia,Cyanobacteriota,rpsL,1,0,0
Babelales,Babeliae,Babelota,rpsL,1,0,0
Bacillales,Bacilli,Bacillota,rpsL,3,0,0
Bacteriovoracales,Bacteriovoracia,Bdellovibrionota,rpsL,5,0,0
Bacteroidales,Bacteroidia,Bacteroidota,rpsL,158,1,0.006329113924050633
Balneolales,Rhodothermia,Bacteroidota_A,rpsL,20,0,0
Bdellovibrionales,Bdellovibrionia,Bdellovibrionota,rpsL,4,0,0
Beggiatoales,Gammaproteobacteria,Pseudomonadota,rpsL,4,0,0
Berkiellales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Borreliales,Spirochaetia,Spirochaetota,rpsL,37,1,0.02702702702702703
Brachyspirales,Brachyspiria,Spirochaetota,rpsL,1,0,0
Bradymonadales,Bradymonadia,Myxococcota,rpsL,6,0,0
Brevinematales,Brevinematia,Spirochaetota,rpsL,2,0,0
